Party Associated with Site,Property at Issue Shorthand,Site Address,Latitude,Longitude,River Mile (RM),Site Operator,Beginning Year of Operations,End Year of Operations,Description/Notes on Operations,Main COCs,List of COCs Manufactured On-Site,List of COCs Involved in Operations,List of COCs that are by-product/waste,On-site Soil/Groundwater Contaminants,Party Responsible for Remediation,Beginning Year of Remediation,End Year of Remediation,List of COCs found on-site during Remediation
"L3Harris Technologies, Inc.",,"100 Kingsland Road, Clifton NJ",,,,L3Harris Technologies,1946,present,"manufactured televisions, radio tubes, telephones, washing machines, printed circuit boards, and also perform welding, soldering, painting, printing, degreasing, drilling, machining, grinding, assembling, and product testing.",copper,,"111-Trichloroethane
acetone
cadmium
chromium
copper
dichlorodifluoromethane
hydrogen chloride
lead
methylene chloride
molybdenum
nickel
nitric acid
nitrogen
potassium hydroxide
silver
sulfuric acid
tin
trichloroethylene
zinc",,"1,1,1-trichloroethane
1,1-dichloroethene
1,2-dichloroethane
arsenic
benzene
chloroform
ethylbenzene
toluene
volatile organic compounds",Harris Corporation,,,
Leemilt's Petroleum,Getty Newark Terminal Site,"86 Doremus Ave., Newark NJ
Getty Newark Terminal Site",,,1.5,"LeeMilt’s Petroleum, Inc.",1985,,"operated a bulk petroleum storage facility, replaced Atlantic Richfield","PAHs
PCBs
copper
lead",,,,,"Atlantic Richfield Company
LeeMilt’s Petroleum, Inc.",,,
"Legacy Vulcan, LLC",,"600 Doremus Ave., Newark NJ",,,,"Legacy Vulcan, LLC",1952,1975,manufactured chemicals,"DDT
PAHs
PCBs
copper
dioxins
lead
mercury",,"DDT
ahydrous flake caustic soda
benzyl benzoate
carbon tetrachloride
chlorine
chloroform
cresyl diphenyl phosphate
dibutyl phthalate
dimethyl phthalate
hexachlorocyclohexane
hydrochloric acid
hydrogen
hydrogen chloride
iron
isophthalic acid
lead
methyl bromide
methyl chloride
methylene chloride
organic chemicals
organochlorine
organophosphorus
pentachlorophenol
phthalic anhydride
plasticizers
sodium hypochlorite
solid caustic soda
tetraphthalic acid
tin
tricresyl phosphate
zinc chloride","chlorinated hydrocarbons
chlorinated organics
lead
zinc","PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury
pentaclorophenol","Legacy Vulcan, LLC",,,
Mallinckrodt LLC,,"223 West Side Ave., Jersey City NJ",,,,Mallinckrodt LLC,1887,,manufactured and packaged chemicals,"PAHs
copper
dioxin-associated compounds
lead
mercury","acetone
alcohols
benzene
ethers
ferric chloride
ferrous sulfate
inorganic chemicals
iron oxides and salts
medicinal chemicals
mercury oxides and salts
mineral acids
photographic chemicals
potassium chloride
potassium sulfate
red mercuric oxide
sodium nitrate
toluene
uranium trioxide
xylenes
zinc acetate","PAHs
copper
dioxin-associated compounds
lead
mercury",,"1,2-dichlorobenzene
HMW PAHs
LMW PAH
copper
dioxin-associated compounds
gamma-BHC
lead
mercury",Mallinckrodt LLC,,,
Marathon Oil,,"100 Central Ave., Kearny NJ",,,,Marathon Oil,1917,,built and repaired merchant and war ships,"PAHs
copper
lead
mercury",,"PAHs
copper
lead
mercury",,"PAHs
chromium
copper
lead
mercury
trichloroethene
zinc",Marathon Oil,,,
McKesson Corp.,,"600 Doremus Ave., Newark NJ",,,0-0.5,McKesson Corporation,1974,1987,"manufactured chemicals, transitioned facility to hazardous waste treatment facility","PCBs
copper
lead
mercury",methylene chloride,"acetone
dimethyl aniline
dimethyl sulfoxide
hydrochloric acid
methylene chloride
mixed chlorinated hydrocarbons
toluene
xylenes",methylene chloride,"PCBs
acetone
arsenic
carbon tetrachloride
hexachlorobenzene
iron
lead
mercury
methanol
methyl aniline
methylene chloride
toluene
trichloroethane",McKesson Corporation,1982,,
"Melon Leasing Corporation, Inc.",,"109-113 Jacobus Ave., Kearny NJ",,,,"Clean Earth of North Jersey, Inc.",1984,present,"leases property to Clean Earth of North Jersey; property serves as hazardous and non hazardous waste treatment, storage and disposal facility","PAHs
copper
dioxins
lead
mercury",,"DDx
PAHs
PCBs
copper
dieldrin
dioxin-associated compounds
dioxins
lead
mercury",,"PAHs
PCBs
arsenic
benzene
copper
dioxin-associated compounds
dioxins
lead
mercury","Melon Leasing Corporation, Inc.",1990,,dioxins
Meltser-Tonnele Avenue LLC,Foundry Property,"221 Foundry Street, Newark NJ",,,,Ashland LLC,1968,1990,"received, stored, and repackaged chemicals; Meltser now owns property","PAHs
copper
dioxin-associated compounds
lead
mercury",,"caustic soda
dioxin-associated compounds
fuel oil
kerosene
sulfuric acid",,"DDx
PAHs
copper
dieldrin
dioxin-associated compounds
lead
mercury",Meltser-Tonnele Avenue LLC,,,
"MI Holdings, Inc.",,"223 West Side Ave., Jersey City NJ",,,,"MI Holdings, Inc.",1982,1993,manufactured chemicals,"PAHs
copper
dioxin-associated compounds
lead
mercury",,"PAHs
copper
dioxin-associated compounds
lead
mercury",,"1,2 dichlorobenzene
HMW PAHs
LMW PAH
copper
dioxin-associated compounds
gamma-BHC
lead
mercury","MI Holdings, Inc.",,,
Nappwood Land Corporation,,"199 Main Street, Lodi NJ",,,,"Purdue Pharma Technologies, Inc.",1946,1995,"produced pharmaceutical, cosmetic, and food products","PAHs
PCBs
copper
lead
mercury","methylparaben
para-hydroxybenzoic acid
trimethoprim","dioxin-associated compounds
fumaric acid
phenol
phthalic anhydride",,"1,1,1-trichloroethane
1,1,2-trichloroethane
1,2 dichlorobenzene
1,2,4 trichlorobenzene
1,3 dichlorobenzene
PAHs
PCBs
chlorobenzene
copper
lead
mercury
toluene","Nappwood Land Corporation
Purdue Pharma Technologies, Inc.",,,
National-Standard LLC,,"714-716 Clifton Ave., Clifton NJ",,,,National-Standard LLC,1907,1988,manufactured carbon steel wire and strips,"PAHs
PCBs
lead
mercury",,"111-Trichloroethane
hydrochloric acid
lead
liquid nitrogen
sodium hydroxide
sulfuric acid",,"PCBs
acetone
arsenic
benzene
chloroform
copper
cyanide
dimethyl phthalate
lead
lead, copper, cyanide, acetone, PCBs, petroleum hydrocarbons, lead, volatile organic compounds, pesticides, dimethyl phthalate, benzene, chloroform, trichloroethene, arsenic, mercury
mercury
pesticides
petroleum hydrocarbons
trichloroethene
volatile organic compounds",National-Standard LLC,,,
Newell Brands Inc.,,"969 Newark Turnpike, Kearny NJ",,,,"Newell Brands Inc. (f/k/a Good Products, Inc.)",1969,1994,manufactured metal hair accessories (e.g. pins and barrettes),"PAHs
copper
lead
mercury",,"copper
kerosene
lead
sulfuric acid","PAHs
copper
dioxin-associated compounds
lead
mercury","PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury",Newell Brands Inc.,,,
Nokia of America Corporation,,"100 Central Ave., Kearny NJ",,,,Nokia of America Corporation,,,"manufactured switchboards, wiring, telecommunications equipment, mercury relays, transformers; operated a powerhouse","PAHs
PCBs
copper
lead
mercury",,"PAHs
PCBs
asbestos
beryllium
chromium
copper
cyanide
lead
mercury
nickel
silver
zinc",,"PCBs
mercury",Nokia of America Corporation,,,
Novartis Corporation,CSD Property,"704 Doremus Ave., Newark NJ",,,0-0.5,Central Steel Drum Company,1951,,"stored, incinerated, reconditioned, and painted steel drums that contained residues of non-hazardous and hazardous substances; customers (including Flint Group) contracted with CSD to dispose of/treat hazardous waste","DDT
PAHs
copper
dieldrin
dioxins
lead
mercury",,,,"DDT
HMW PAHs
LMW PAH
PAHs
PCBs
copper
dieldrin
dioxins
lead
mercury
pesticides",CSD defendants,,,
Novelis Corporation,,"1 Jacobus Ave., Kearny NJ",,,,Novelis Corporation,1953,1975,"manufactured building products, aluminum siding, roofing, and accessories","PAHs
PCBs
copper
lead
mercury",,,,"PAHs
PCBs
benzene
benzo(a)anthracene
cadmium
chromium
chrysene
copper
lead
mercury
nickel
toluene
zinc",Novelis Corporation,,,
