,Party Associated with Site,Property at Issue Shorthand,Site_Address,Latitude,Longitude,River Mile (RM),Site Operator,Beginning Year of Operations,End Year of Operations,Description/Notes on Operations,Main COCs,List of COCs Manufactured On-Site,List of COCs Involved in Operations,List of COCs that are by-product/waste,On-site Soil/Groundwater Contaminants,Party Responsible for Remediation,Beginning Year of Remediation,End Year of Remediation,List of COCs found on-site during Remediation
124,Staley Holdings LLC,,"320 Schuyler Ave., Kearny NJ",40.7597209,-74.14285129999999,,"A.E. Staley
Staley Holdings LLC",1966,1975 (at least),"manufactured polymers, rubber-based adhesives, and leather finishes","copper
lead
mercury",,"chromium
copper
ethyl acrylate
lead
mercury
methyl acrelate
methyl methacrelate
nickel
silver",,,Staley Holdings LLC,,,
125,Staley Holdings LLC,,"100 Third Ave., Kearny NJ",40.7584422,-74.14091049999999,,"A.E. Staley
Staley Holdings LLC",,1978,"manufactured polymers, rubber-based adhesives, and leather finishes","copper
lead
mercury",,"chromium
copper
ethyl acrylate
lead
mercury
nickel
silver",,,Staley Holdings LLC,,,
126,"Stanley Black & Decker, Inc.",,"140 Chapel Street, Newark NJ",40.7373549,-74.1399296,,Stanley Black & Decker Inc.,1875,1985,manufactured hand tools,"PAHs
PCBs
copper
lead",,"fuel oil
quench oil
transformer oil",,"4,4-DDE
4,4-DDT
DDT
PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury",Stanley Black & Decker Inc.,,,
127,STWB Inc.,,"104-112 Lister Ave., Newark NJ",40.7390369,-74.1342955,,STWB Inc.,1986,,"produced phthalocyanine colors, transoxides for the textile industry, D&C colors for the drug and cosmetic industry, 2,4,2-Schaeffer salt, and florescein dyes","PAHs
PCBs
copper
lead
mercury",,"PCBs
chlorinated naphthalenes
chlorine
copper
dioxin-associated compounds
dioxins
furans
lead
mercury
phthalic anhydride
trichlorobenzene",,"PAHs
PCBs
copper
dichlorobenzene
hexachlorobenzene
lead
mercury
other hazardous substances
trichlorobenzene",STWB Inc.,,,
128,Sun Chemical Corporation,,"185 Foundry Street, Newark NJ",40.7284626,-74.13257519999999,,Sun Chemical Corporation,1986/1987,2003,manufactured organic pigments for automotive paints and plastics,"PAHs
PCBs
copper
lead
mercury",,"PCBs
acetic acid
arsenic
bis(2-ethylhexyl) phthalate
cadmium
chromium
dianilinoterephthalic acid
ditoluidinoteriphthalic acid
ethylbenzene
lead
methanol
phosphoric acid
sodium hydroxide
toluene
xylenes",,"PCBs
base neutrals
copper
lead
mercury
other priority pollutant metals
petroleum hydrocarbons
volatile organic compounds",Sun Chemical Corporation,,,
129,Tate & Lyle Ingredients Americas LLC,,"320 Schuyler Ave., Kearny NJ",40.7597209,-74.14285129999999,,Tate & Lyle Ingredients Americas LLC,1966,1975 (at least),"manufactured polymers, rubber-based adhesives, and leather finishes","copper
lead
mercury",,"chromium
copper
ethyl acrylate
lead
mercury
methyl acrelate
methyl methacrelate
nickel
silver",,,Tate & Lyle Ingredients Americas LLC,,,
130,Tate & Lyle Ingredients Americas LLC,,"100 Third Ave., Kearny NJ",40.7584422,-74.14091049999999,,Tate & Lyle Ingredients Americas LLC,,1978,"manufactured polymers, rubber-based adhesives, and leather finishes","copper
lead
mercury",,"chromium
copper
ethyl acrylate
lead
mercury
nickel
silver",,,Tate & Lyle Ingredients Americas LLC,,,
131,Teval Corp.,,"900-1000 South Fourth Street, Harrison NJ",40.751911,-74.1575674,,Teval Corporation,1947,,operated a pipe fabrication facility,"PAHs
PCBs
copper
lead
mercury",,"copper
lead
mercury
sulfuric acid",,"PAHs
PCBs
copper
dieldrin
dioxin-associated compounds
lead
mercury",Teval Corporation,,,
132,Textron Inc.,,"681 Main Street, Belleville NJ",40.8043066,-74.141031,,"Federal Leather Company, Inc.",1956,1968,"manufactured leather, artificial leather, and vinyl plastics","PAHs
copper
mercury",,,,,"Textron, Inc.",,,
133,"Textron, Inc.",,"400 Doremus Ave., Newark NJ",40.719338,-74.12474000000002,,"Textron, Inc.",1978,,manufactured chemicals and resins,"PAHs
PCBs
copper
lead
mercury","alkyd resin
polyester resin","PAHs
dioxin-associated compounds",,"PAHs
PCBs
copper
lead
mercury","Textron, Inc.",,,
134,The Hartz Mountain Corporation,,"600 and 700 Blocks, South 4th Street, Harrison NJ",40.751911,-74.1575674,,The Hartz Mountain Corporation,1970,1993 (at least),"manufactured, assembled, warehoused, and distributed pet supplies and pet foods","PAHs
PCBs
copper
lead
mercury",,"acetylene
battery acid
dimethyl ether
fungicides
kerosene
pesticides","chlorides
grease
lead
mercury
oil
pesticides
volatile solids
volatile solvents","PCBs
copper
lead
nickel",The Hartz Mountain Corporation,,,
135,"The Newark Group, Inc.",,"17 Blanchard Street, Newark NJ",40.7354903,-74.1286149,,"The Newark Group, Inc.",late 1890s,,"manufactured recycled paperboard into plain, laminating, partition and lined chip finished products","PCBs
copper
dioxin-associated compounds
lead
mercury",,"PCBs
copper
lead
mercury","arsenic
copper
lead
mercury",,"The Newark Group, Inc.",,,
136,The Okonite Company,,"Block 1076, Canal and Jefferson Streets, Passaic City NJ",40.863587,-74.1220863,,"The Okonite Company, Inc.",at least 1973,,"manufactured insulated electrical wires, cables, tape and splicing tape","PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury",,trichloroethylene,PAHs,"copper
dioxin-associated compounds
lead
mercury
petroleum hydrocarbons
zinc",,,,
137,The Sherwin-Williams Company,Sherwin Williams Site,"40, 60, 62-70 Lister Ave., Newark",40.7390409,-74.1383097,,The Sherwin-Williams Company,1902,1999,manufactured paints and related products and DDT and stored insecticides,"DDT
PAHs
PCBs
copper
dieldrin
lead
mercury",,,,,,,,
138,The Sherwin-Williams Company,CSD Property,"704 Doremus Ave., Newark NJ",40.7088793,-74.1318163,0-0.5,Central Steel Drum Company,1951,,"stored, incinerated, reconditioned, and painted steel drums that contained residues of non-hazardous and hazardous substances; customers (including Flint Group) contracted with CSD to dispose of/treat hazardous waste","DDT
PAHs
copper
dieldrin
dioxins
lead
mercury",,,,"DDT
HMW PAHs
LMW PAH
PAHs
PCBs
copper
dieldrin
dioxins
lead
mercury
pesticides",CSD defendants,,,
139,The two Sunoco Parties,,"436 Doremus Ave., Newark NJ",40.71766299999999,-74.12473,0-0.5,The two Sunoco parties,1916,present,"shipped, stored, and distributed petroleum products","PAHs
PCBs
copper
lead",,"PAHs
fuel oil
oil products
oil/water separator wastes
petroleum sludge
tank bottom solids
waste crank oil",,"PAHs
PCBs
iron
lead
volatile organic compounds","Sunoco (R&M), LLC
Sunoco Partners Marketing & Terminals L.P.",1993.0,,
140,Tiffany and Company,,"820 Highland Ave., Newark NJ",40.7842969,-74.16626939999999,,Tiffany and Company,1897,1985,"produced sterling silver and manufactured flatware, hollowware, and fancy goods","PAHs
copper
lead
mercury",,"hydrofluoric acid
nitric acid
sulfuric acid",,"PAHs
copper
lead
mercury",Tiffany and Company,,,
141,United States Steel Corporation,,"100 Central Ave., Kearny NJ",40.7313136,-74.1137761,,United States Steel Corporation,1917,1948,built and repaired merchant and war ships,"PAHs
copper
lead
mercury",,"PAHs
copper
lead
mercury",,"PAHs
chromium
chrysene
copper
lead
mercury
naphthalene
trichloroethene
zinc","RTC Properties, Inc.
United States Steel Corporation",,,
142,ViacomCBS Inc. (f/k/a CBS Corporation),,"95 Orange Street, Newark NJ",40.74620650000001,-74.1714358,,CBS Corporation,1893,1983,manufactured relay instrument and electrical equipment,"copper
lead
mercury",,"Pyranol A
copper
cutting-oil waste
lead","caustic soda
copper
grease
lead
mercury
oil","PAHs
PCBs
copper
dieldrin compounds
dioxin-associated compounds
lead
mercury",,,,
143,Schiffenhaus Packaging Corporation,,"2013 McCarter Highway, Newark NJ",40.7756867,-74.15351729999999,,Schiffenhaus Packaging Corporation,1895,present,manufactured linerboard and fiber,,,"PAHs
copper
lead
mercury","PAHs
copper
lead
mercury",,,,,
144,"Wiggins Plastics, Inc.",,"180 Kingsland Road, Clifton NJ",40.8273,-74.1421173,,"Wiggins Plastics, Inc.",1955,present,"manufactured thermoset and thermoplastic components for electronic, electrical and mechanical use","PAHs
PCBs
copper
dioxin-associated compounds
dioxins
lead
mercury",,"PAHs
PCBs
benzene
copper
iron
petroleum hydrocarbons
toluene
xylenes",hazardous substances,"arsenic
chlorobenzene
chloroform
copper
lead
mercury
methylene chloride
toluene","Wiggins Plastics, Inc.",,,
145,"Zeneca, Inc.",Bayonne Barrel & Drum Property,"150-154 Raymond Boulevard, Newark NJ",40.7343615,-74.12686339999999,,Bayonne Barrel & Drum,1940,1983,cleaned and reconditioned steel drums sent to the site by customers (including E.I. du Pont de Nemours & Company),"DDT
PAHs
PCBs
copper
dioxins
lead
mercury",,,,"PAHs
PCBs
copper
dioxins
lead
mercury
other metals",Bayonne Barrel Defendants,,,
146,ISP Chemicals LLC,ISP - Belleville,"11 William Street, Belleville NJ",40.7836558,-74.1500566,,ISP Chemicals LLC,1943,present,"manufacured ultraviolet absorbers, emulsifiers, and emollients.","PAHs
PCBs
dioxins
mercury",,"acetone
chloroform
formaldehyde
fuel oil
methanol
propane
tetrahydrofuran",,"PCBs
PHCs
benzene
di-n-butyl phthalate
mercury
volatile organic compounds",,,,
